ticket,symbol,timeframe,direction,entry_price,sl,tp,lot,source,atr,entry_time,exit_time,exit_price,result,pnl,pips
2797454438,XAUUSD,,SELL,4634.476,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:57,,,OPEN,,
2797454458,XAUUSD,,SELL,4634.715,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:57,,,OPEN,,
2797454471,XAUUSD,,SELL,4634.799,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:57,,,OPEN,,
2797454478,XAUUSD,,SELL,4634.799,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:57,,,OPEN,,
2797454487,XAUUSD,,SELL,4634.799,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454501,XAUUSD,,SELL,4634.882,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454508,XAUUSD,,SELL,4634.882,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454514,XAUUSD,,SELL,4634.882,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454526,XAUUSD,,SELL,4634.605,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454542,XAUUSD,,SELL,4634.467,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454546,XAUUSD,,SELL,4634.467,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:58,,,OPEN,,
2797454551,XAUUSD,,SELL,4634.467,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:59,,,OPEN,,
2797492070,XAUUSD,,BUY,4635.343,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:44,,,OPEN,,
2797492079,XAUUSD,,BUY,4635.343,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:44,,,OPEN,,
2797492102,XAUUSD,,BUY,4635.585,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492115,XAUUSD,,BUY,4635.641,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492122,XAUUSD,,BUY,4635.641,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492130,XAUUSD,,BUY,4635.641,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492143,XAUUSD,,BUY,4635.652,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492167,XAUUSD,,BUY,4635.582,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492175,XAUUSD,,BUY,4635.51,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:45,,,OPEN,,
2797492181,XAUUSD,,BUY,4635.51,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
2797492185,XAUUSD,,BUY,4635.581,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
2797492191,XAUUSD,,BUY,4635.491,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
2797492211,XAUUSD,,BUY,4635.891,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
