time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,tick_dir,tick_bull%,ob_bias,ob_imbal,rt_bias,rt_score,spread,logged_at
2026-03-31 10:25:00,4558.421,4561.046,4557.436,4560.499,BULLISH,2.078,0.547,0.985,,48.91,4560.57955,4561.75249,-1.60719,-0.11191,42.6,4.85562,WAIT,-13.39,,,NEUTRAL,49.7,NEUTRAL,0.0,NEUTRAL,-0.005,0.308,2026-03-31 17:30:27
2026-03-31 10:30:00,4560.449,4560.795,4555.469,4555.654,BEARISH,4.795,0.346,0.185,Marubozu Bear,42.3,4560.10907,4561.51273,-1.79579,-0.24021,42.5,4.91834,SELL,-8.69,4560.57234,4540.89899,NEUTRAL,42.1,NEUTRAL,0.0,NEUTRAL,-0.12,0.308,2026-03-31 17:35:05
2026-03-31 10:35:00,4554.954,4556.322,4533.438,4533.438,BEARISH,21.516,1.368,0.0,Marubozu Bear,25.39,4557.52028,4560.39048,-3.72911,-1.73161,48.03,7.43093,SELL,-20.37,4540.86893,4511.14521,NEUTRAL,46.8,NEUTRAL,0.0,NEUTRAL,-0.05,0.308,2026-03-31 17:40:10
2026-03-31 10:40:00,4534.228,4544.784,4529.263,4544.636,BULLISH,10.408,0.148,4.965,,38.41,4556.35645,4559.80031,-4.22752,-1.79338,52.71,8.59339,WAIT,-19.57,,,NEUTRAL,45.5,NEUTRAL,0.0,NEUTRAL,-0.065,0.308,2026-03-31 17:45:14
2026-03-31 10:45:00,4541.261,4543.525,4540.032,4542.077,BULLISH,0.816,1.448,1.229,Spinning Top,35.8,4554.69923,4558.97529,-5.03232,-2.03452,56.72,7.91426,WAIT,-19.15,,,NEUTRAL,49.5,NEUTRAL,0.0,NEUTRAL,-0.005,0.308,2026-03-31 17:48:07
2026-03-31 10:55:00,4548.335,4553.054,4544.065,4546.491,BEARISH,1.844,4.719,2.426,Spinning Top,41.44,4553.35696,4558.07903,-4.87774,-1.1974,52.44,7.96809,WAIT,-9.63,,,NEUTRAL,50.0,NEUTRAL,0.0,NEUTRAL,0.0,0.308,2026-03-31 17:59:31
2026-03-31 11:00:00,4546.89,4550.457,4544.009,4546.645,BEARISH,0.245,3.567,2.636,Doji,41.54,4552.75883,4557.64861,-4.76339,-0.87252,49.36,7.76541,WAIT,-13.84,,,NEUTRAL,49.6,NEUTRAL,0.0,NEUTRAL,-0.005,0.308,2026-03-31 18:05:15
2026-03-31 11:05:00,4547.303,4548.74,4544.757,4546.023,BEARISH,1.28,1.437,1.266,Bearish Engulfing,41.06,4552.1692,4557.21538,-4.66186,-0.62448,46.68,7.26109,WAIT,-9.65,,,NEUTRAL,52.3,NEUTRAL,0.0,NEUTRAL,0.035,0.28,2026-03-31 18:09:18
2026-03-31 11:10:00,4545.125,4563.149,4540.957,4546.632,BULLISH,1.507,16.517,4.168,Doji,42.26,4551.55456,4556.76218,-4.58063,-0.42167,43.77,9.44497,WAIT,-6.75,,,NEUTRAL,51.8,NEUTRAL,0.0,NEUTRAL,0.025,0.396,2026-03-31 18:12:09
2026-03-31 11:15:00,4551.374,4568.205,4549.404,4563.594,BULLISH,12.22,4.611,1.97,,58.06,4553.12658,4557.21611,-2.74431,1.06871,40.94,10.69244,WAIT,1.38,,,NEUTRAL,45.8,NEUTRAL,0.0,NEUTRAL,-0.065,0.308,2026-03-31 18:19:45
