<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.14	09:15:00	4174.630	4177.305	4168.403	4170.218	4622	0	160
2025.11.14	09:30:00	4170.109	4171.749	4166.491	4170.913	4129	0	160
2025.11.14	09:45:00	4170.916	4171.771	4168.838	4169.257	2480	0	160
2025.11.14	10:00:00	4169.317	4170.559	4162.655	4165.470	3571	0	160
2025.11.14	10:15:00	4165.436	4170.634	4162.947	4165.185	4312	0	160
2025.11.14	10:30:00	4165.080	4168.395	4159.358	4167.426	3766	0	160
2025.11.14	10:45:00	4167.410	4171.078	4165.927	4167.811	3637	0	160
2025.11.14	11:00:00	4167.826	4169.864	4150.849	4153.030	6012	0	160
2025.11.14	11:15:00	4152.991	4152.991	4141.839	4148.691	7718	0	160
2025.11.14	11:30:00	4148.739	4157.720	4148.586	4153.721	4538	0	160
2025.11.14	11:45:00	4153.685	4153.685	4130.777	4132.907	10163	0	160
2025.11.14	12:00:00	4132.853	4140.501	4123.926	4125.966	10361	0	160
2025.11.14	12:15:00	4126.021	4128.646	4110.869	4113.405	11725	0	160
2025.11.14	12:30:00	4113.459	4119.254	4107.245	4115.402	9840	0	160
2025.11.14	12:45:00	4115.373	4119.670	4109.665	4116.161	8262	0	160
2025.11.14	13:00:00	4116.120	4118.823	4084.339	4086.187	16147	0	160
2025.11.14	13:15:00	4086.215	4092.021	4053.555	4055.760	19712	0	160
2025.11.14	13:30:00	4055.716	4063.765	4046.333	4054.944	14687	0	160
2025.11.14	13:45:00	4054.892	4057.813	4041.062	4055.752	14802	0	160
2025.11.14	14:00:00	4055.708	4055.973	4037.449	4050.199	15284	0	160
2025.11.14	14:15:00	4050.253	4060.328	4046.306	4053.378	10257	0	160
2025.11.14	14:30:00	4053.275	4072.597	4032.194	4068.200	20175	0	160
2025.11.14	14:45:00	4068.149	4083.907	4063.339	4082.653	14826	0	160
2025.11.14	15:00:00	4082.694	4082.731	4068.282	4079.303	13852	0	160
2025.11.14	15:15:00	4079.185	4082.206	4071.599	4080.794	11664	0	160
2025.11.14	15:30:00	4080.766	4083.432	4072.751	4073.330	10106	0	160
2025.11.14	15:45:00	4073.287	4096.478	4071.899	4093.474	11449	0	160
2025.11.14	16:00:00	4093.530	4095.282	4080.825	4084.012	8368	0	160
2025.11.14	16:15:00	4084.039	4103.468	4082.186	4102.277	7713	0	160
2025.11.14	16:30:00	4102.309	4111.212	4096.377	4108.237	7324	0	160
2025.11.14	16:45:00	4108.242	4109.294	4102.233	4105.116	7168	0	160
2025.11.14	17:00:00	4105.076	4110.611	4096.121	4102.414	7760	0	160
2025.11.14	17:15:00	4102.431	4104.123	4093.952	4098.877	5969	0	160
2025.11.14	17:30:00	4098.899	4110.427	4097.903	4103.344	6933	0	160
2025.11.14	17:45:00	4103.390	4104.624	4095.989	4099.875	6096	0	160
2025.11.14	18:00:00	4099.931	4100.361	4086.330	4094.657	9004	0	160
2025.11.14	18:15:00	4094.728	4095.153	4080.789	4093.049	8246	0	160
2025.11.14	18:30:00	4093.011	4103.704	4090.825	4096.943	6204	0	160
2025.11.14	18:45:00	4096.892	4102.992	4095.570	4098.045	4202	0	160
2025.11.14	19:00:00	4098.001	4100.042	4089.717	4094.950	5360	0	160
2025.11.14	19:15:00	4094.999	4097.270	4092.170	4093.681	4274	0	160
2025.11.14	19:30:00	4093.588	4095.604	4089.812	4090.114	4192	0	160
2025.11.14	19:45:00	4090.159	4095.752	4087.704	4089.972	4592	0	160
2025.11.14	20:00:00	4090.015	4092.359	4083.713	4087.372	5286	0	160
2025.11.14	20:15:00	4087.393	4088.956	4075.318	4083.566	5493	0	160
2025.11.14	20:30:00	4083.621	4092.312	4081.802	4087.577	5016	0	160
2025.11.14	20:45:00	4087.609	4091.634	4084.882	4087.156	4981	0	160
2025.11.14	21:00:00	4087.120	4087.120	4078.860	4079.734	2576	0	160
2025.11.14	21:15:00	4079.738	4085.200	4079.467	4082.870	2168	0	160
2025.11.14	21:30:00	4082.878	4083.979	4077.630	4080.385	2783	0	160
2025.11.14	21:45:00	4080.378	4086.222	4078.899	4084.609	2001	0	160
2025.11.16	23:00:00	4083.755	4104.848	4071.875	4099.186	8400	0	160
2025.11.16	23:15:00	4099.133	4106.784	4095.420	4103.709	5651	0	160
2025.11.16	23:30:00	4103.810	4106.273	4099.010	4102.434	4450	0	160
2025.11.16	23:45:00	4102.464	4103.172	4093.668	4096.457	4437	0	160
2025.11.17	00:00:00	4096.528	4098.343	4084.151	4084.975	6003	0	160
2025.11.17	00:15:00	4085.010	4091.884	4080.467	4086.432	5406	0	160
2025.11.17	00:30:00	4086.459	4092.090	4085.277	4090.050	4737	0	160
2025.11.17	00:45:00	4090.044	4091.593	4081.528	4083.038	4604	0	160
2025.11.17	01:00:00	4083.073	4096.292	4082.488	4093.813	9016	0	160
2025.11.17	01:15:00	4093.781	4096.873	4085.481	4095.736	7100	0	160
2025.11.17	01:30:00	4095.833	4102.076	4094.204	4098.915	5789	0	160
2025.11.17	01:45:00	4098.942	4099.710	4090.154	4091.202	5688	0	160
2025.11.17	02:00:00	4091.191	4092.739	4083.561	4089.453	6152	0	160
2025.11.17	02:15:00	4089.421	4092.338	4085.883	4091.887	4440	0	160
2025.11.17	02:30:00	4091.820	4093.793	4085.557	4088.265	5745	0	160
2025.11.17	02:45:00	4088.298	4089.622	4080.730	4081.702	6702	0	160
2025.11.17	03:00:00	4081.677	4083.123	4070.050	4079.704	8351	0	160
2025.11.17	03:15:00	4079.674	4085.815	4075.711	4080.151	6562	0	160
2025.11.17	03:30:00	4080.183	4083.350	4077.871	4083.008	4369	0	160
2025.11.17	03:45:00	4083.051	4085.423	4080.833	4082.921	3507	0	160
2025.11.17	04:00:00	4082.897	4088.000	4082.045	4083.965	3888	0	160
2025.11.17	04:15:00	4083.959	4084.529	4081.020	4083.238	2124	0	160
